name,app,loan,create_date,real_target,score,real_default
APP-0008794728,a684u00000E8AfLAAV,LAI-01444598,11/2/2020,0,0.147587779,1
APP-0008795434,a684u00000E8BLWAA3,LAI-01440496,11/2/2020,0,0.090250084,0
APP-0008796386,a684u00000E8BpTAAV,LAI-01441966,11/2/2020,0,0.220119235,0
APP-0008795197,a684u00000E8B6WAAV,LAI-01440770,11/2/2020,0,0.130988122,0
APP-0009331756,a684u00000FQQgZAAX,LAI-01561883,1/14/2021,0,0.054573852,0
APP-0009332748,a684u00000FQRe6AAH,LAI-01562213,1/14/2021,0,0.077403464,0
APP-0009333360,a684u00000FQSTcAAP,LAI-01562172,1/14/2021,0,0.079839142,1
APP-0009331659,a684u00000FQQa7AAH,LAI-01562578,1/14/2021,0,0.210126001,0
APP-0009332878,a684u00000FQRxCAAX,LAI-01563903,1/14/2021,0,0.089091461,0
APP-0009331934,a684u00000FQQskAAH,LAI-01561887,1/14/2021,0,0.034539795,0
APP-0009333325,a684u00000FQSRHAA5,LAI-01562233,1/14/2021,0,0.178498236,0
APP-0009333948,a684u00000FQT6AAAX,LAI-01563168,1/15/2021,0,0.171004572,0
APP-0009122697,a684u00000FMseTAAT,LAI-01534364,12/12/2020,0,0.085473857,0
APP-0009122395,a684u00000FMsLHAA1,LAI-01515403,12/12/2020,0,0.264153613,1
APP-0009122605,a684u00000FMsYfAAL,LAI-01515389,12/12/2020,0,0.058628505,0
APP-0009122997,a684u00000FMshiAAD,LAI-01536173,12/12/2020,0,0.071609874,0
APP-0009135627,a684u00000FN4wVAAT,LAI-01529287,12/13/2020,0,0.173055526,0
APP-0009039722,a684u00000Ejm4bAAB,LAI-01496864,12/3/2020,1,0.206864109,1
APP-0008905278,a684u00000EhZDMAA3,LAI-01465288,11/16/2020,1,0.204808343,1
APP-0008907906,a684u00000Ehbq2AAB,LAI-01466047,11/16/2020,0,0.053367249,0
APP-0008904991,a684u00000EhYvrAAF,LAI-01467789,11/16/2020,0,0.457094998,1
APP-0008905024,a684u00000EhYxsAAF,LAI-01465691,11/16/2020,0,0.098820138,0
APP-0008905178,a684u00000EhZ39AAF,LAI-01465573,11/16/2020,0,0.036450072,0
APP-0008907256,a684u00000EhbDiAAJ,LAI-01470121,11/16/2020,0,0.060941617,0
APP-0008907851,a684u00000EhbqLAAR,LAI-01466042,11/16/2020,0,0.098434336,0
APP-0008904727,a684u00000EhYf5AAF,LAI-01478055,11/16/2020,0,0.065065183,0
APP-0008905590,a684u00000EhZNIAA3,LAI-01474130,11/16/2020,0,0.042269896,1
APP-0008905517,a684u00000EhZT5AAN,LAI-01468866,11/16/2020,0,0.081312047,0
APP-0008906015,a684u00000EhZyhAAF,LAI-01466215,11/16/2020,0,0.11228922,1
APP-0008908225,a684u00000EhbAVAAZ,LAI-01470433,11/17/2020,0,0.17513399,0
APP-0008907645,a684u00000EhbcxAAB,LAI-01467097,11/16/2020,0,0.16616289,1
